Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe & Central Asia,7433000000,6688000000,6811000000,10168000000,14045000000,11576000000,8738000000,8675000000,8419000000,10249000000,7935000000,10442000000,9340000000,8434000000,9512000000,9860000000,8218000000,7180000000,9643000000,8178000000,8725000000,9233000000,8389000000,7865000000,7277000000,6223000000,6974000000,6521000000,8492000000,7977000000,7358000000,7791000000,8678000000,7738000000,7243000000,5427000000,5557000000,5877000000,8417000000,6104000000,5178000000,4712000000,3843000000,5478000000,4445000000,4517000000,5691000000,7942000000,5314000000,5722000000,4588000000,4445000000,4701000000,3876000000,4250000000,4298000000,4327000000,4347000000,3868000000,4255000000,3918000000,5182000000,8744000000
Ecuador,66000000,,,3000000,3000000,29000000,9000000,21000000,5000000,1000000,5000000,85000000,41000000,15000000,22000000,40000000,225000000,571000000,192000000,110000000,296000000,152000000,257000000,388000000,349000000,23000000,25000000,40000000,26000000,20000000,3000000,136000000,4000000,18000000,13000000,44000000,29000000,99000000,31000000,16000000,,10000000,1000000,,15000000,47000000,47000000,2000000,102000000,77000000,89000000,68000000,88000000,11000000,53000000,27000000,26000000,20000000,5000000,3000000,21000000,14000000,1000000
"Egypt, Arab Rep.",143000000,544000000,686000000,737000000,843000000,950000000,1533000000,2238000000,1269000000,1235000000,1674000000,1984000000,3256000000,2556000000,1077000000,565000000,159000000,410000000,135000000,630000000,1001000000,1176000000,2493000000,1692000000,1511000000,974000000,1486000000,1648000000,427000000,297000000,563000000,887000000,973000000,1257000000,2020000000,1703000000,969000000,1040000000,482000000,517000000,834000000,829000000,718000000,632000000,653000000,799000000,724000000,692000000,335000000,161000000,688000000,632000000,283000000,678000000,430000000,1444000000,1643000000,2340000000,1638000000,1157000000,1403000000,1287000000,701000000
Euro area,3963000000,3670000000,4554000000,6556000000,8621000000,6799000000,4874000000,3421000000,2660000000,3568000000,4366000000,6273000000,5419000000,4628000000,4761000000,5682000000,5029000000,3964000000,4736000000,3885000000,3862000000,3636000000,3915000000,4059000000,3237000000,2473000000,2983000000,2538000000,4498000000,4299000000,3362000000,4066000000,4528000000,3228000000,3958000000,2512000000,2420000000,2741000000,3736000000,2793000000,2210000000,1946000000,1552000000,3646000000,2659000000,1555000000,2668000000,3620000000,2289000000,3110000000,2713000000,1149000000,1106000000,1385000000,950000000,1763000000,1688000000,1253000000,1022000000,1253000000,1703000000,2007000000,2208000000
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000,18000000,7000000,41000000,53000000,214000000,31000000,20000000,57000000,18000000,17000000,80000000,98000000,,4000000,,,,,,,,,,,,,,,
Spain,214000000,103000000,55000000,14000000,51000000,382000000,302000000,303000000,133000000,183000000,233000000,617000000,767000000,906000000,583000000,1185000000,831000000,321000000,446000000,656000000,688000000,630000000,507000000,604000000,81000000,327000000,1089000000,1091000000,1942000000,840000000,699000000,109000000,207000000,299000000,853000000,355000000,424000000,211000000,86000000,361000000,320000000,144000000,271000000,249000000,305000000,358000000,312000000,343000000,347000000,228000000,272000000,166000000,219000000,155000000,108000000,152000000,104000000,82000000,149000000,35000000,71000000,135000000,173000000
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,3000000,15000000,17000000,1000000,12000000,4000000,1000000,27000000,,1000000,13000000,8000000,18000000,4000000,18000000,28000000,42000000,13000000,1000000,2000000,18000000,2000000,18000000,29000000,33000000,17000000,18000000,25000000,18000000,17000000
Ethiopia,24000000,4000000,21000000,27000000,4000000,14000000,99000000,31000000,34000000,24000000,89000000,54000000,53000000,5000000,16000000,58000000,135000000,1107000000,965000000,113000000,330000000,328000000,516000000,353000000,273000000,247000000,348000000,239000000,155000000,47000000,2000000,80000000,,,,,,69000000,211000000,155000000,117000000,,20000000,174000000,239000000,,,,,,54000000,76000000,193000000,154000000,33000000,10000000,55000000,51000000,12000000,74000000,24000000,11000000,35000000
European Union,6373000000,6138000000,6401000000,9156000000,12561000000,10276000000,6983000000,5638000000,4925000000,6048000000,6943000000,8765000000,7641000000,7127000000,7659000000,8617000000,7425000000,6591000000,8242000000,6769000000,7169000000,6978000000,6518000000,6219000000,5354000000,4727000000,5980000000,4536000000,6096000000,5766000000,5190000000,4776000000,4987000000,4279000000,4459000000,3007000000,3037000000,3181000000,4364000000,3333000000,2662000000,2385000000,1985000000,4222000000,3536000000,3025000000,3692000000,5121000000,3289000000,3633000000,3056000000,1665000000,1685000000,1656000000,1424000000,1998000000,2097000000,1558000000,1204000000,1599000000,2208000000,2742000000,3568000000
Fragile and conflict affected situations,382000000,295000000,510000000,510000000,590000000,618000000,1572000000,2001000000,1532000000,1847000000,2169000000,2163000000,3303000000,6527000000,7290000000,5762000000,4704000000,6891000000,9210000000,7488000000,8866000000,9586000000,10688000000,8265000000,8956000000,8094000000,6319000000,6278000000,4755000000,4871000000,4116000000,2629000000,522000000,,,,,,,,,,,,,,,1546000000,2012000000,1676000000,2524000000,3441000000,3140000000,3129000000,1864000000,2487000000,2748000000,1699000000,1467000000,1036000000,888000000,685000000,3300000000
Finland,54000000,65000000,38000000,237000000,77000000,81000000,42000000,76000000,23000000,21000000,15000000,4000000,26000000,13000000,172000000,127000000,90000000,30000000,105000000,47000000,328000000,119000000,132000000,112000000,127000000,206000000,100000000,69000000,144000000,85000000,90000000,64000000,442000000,406000000,252000000,195000000,552000000,397000000,560000000,768000000,472000000,7000000,16000000,242000000,67000000,93000000,132000000,141000000,135000000,42000000,52000000,60000000,79000000,298000000,198000000,293000000,161000000,47000000,87000000,86000000,53000000,53000000,34000000
Fiji,,,,,,,,,,,,,,,,8000000,4000000,,,,,,,,,,,,,,1000000,,3000000,,6000000,12000000,,,,,,,,,,,,,,,,,,,,,,1000000,,,7000000,,
France,526000000,321000000,122000000,162000000,1300000000,378000000,106000000,98000000,123000000,64000000,44000000,57000000,33000000,51000000,46000000,45000000,196000000,204000000,241000000,107000000,70000000,106000000,142000000,108000000,73000000,20000000,100000000,84000000,133000000,107000000,65000000,948000000,424000000,96000000,80000000,97000000,64000000,223000000,171000000,105000000,98000000,61000000,38000000,55000000,93000000,2000000,68000000,75000000,4000000,74000000,106000000,43000000,87000000,107000000,17000000,44000000,47000000,85000000,193000000,94000000,215000000,41000000,22000000
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,14000000,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,7000000
Gabon,,3000000,,,3000000,0,2000000,,4000000,4000000,1000000,24000000,,2000000,11000000,34000000,47000000,28000000,77000000,,33000000,36000000,5000000,11000000,98000000,2000000,7000000,10000000,22000000,10000000,29000000,,,,,,,,,,,,,,6000000,,20000000,18000000,,,27000000,5000000,1000000,2000000,,5000000,3000000,,,26000000,,2000000,
United Kingdom,26000000,34000000,38000000,139000000,118000000,152000000,216000000,1422000000,2288000000,2570000000,60000000,171000000,217000000,234000000,319000000,337000000,251000000,256000000,179000000,219000000,544000000,800000000,756000000,286000000,633000000,355000000,273000000,207000000,281000000,209000000,120000000,940000000,1134000000,783000000,411000000,496000000,568000000,496000000,752000000,132000000,937000000,1282000000,720000000,769000000,215000000,31000000,375000000,868000000,570000000,399000000,502000000,389000000,595000000,509000000,217000000,423000000,282000000,1002000000,518000000,342000000,652000000,878000000,799000000
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,4000000,28000000,23000000,6000000,85000000,,1000000,37000000,92000000,97000000,161000000,132000000,38000000,,2000000,,5000000,1000000,,,7000000,41000000,6000000,,,2000000
Ghana,12000000,107000000,20000000,6000000,40000000,40000000,24000000,1000000,,,,,12000000,8000000,19000000,28000000,39000000,,18000000,7000000,38000000,48000000,,,,5000000,,13000000,,2000000,4000000,1000000,,,11000000,,7000000,5000000,,7000000,1000000,12000000,1000000,6000000,35000000,0,0,16000000,,11000000,2000000,76000000,39000000,50000000,14000000,13000000,22000000,,0,2000000,10000000,,4000000
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,33000000,0,,0,0,17000000,,6000000,,0,1000000,4000000,4000000,18000000,24000000,2000000,18000000,8000000,45000000,69000000,,1000000,1000000,1000000,,,39000000,,,40000000,1000000,1000000,,,,,,,4000000,,18000000,6000000,,2000000,,1000000,,0,,,5000000,1000000,4000000,,5000000,,,2000000,1000000,4000000,,1000000,
"Gambia, The",,,,,,,,,,0,,,,,,,,,,,,3000000,,,,,,,,12000000,,,,,,,,,,,,,,,5000000,,,,,16000000,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,21000000,10000000,12000000,,14000000,24000000,2000000,1000000,,,11000000,,35000000,,20000000,,20000000,6000000,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,4000000,,1000000,,5000000,,,,,,,,,,,,,,,,,3000000,,7000000,,,7000000,11000000,7000000,28000000,30000000,68000000,3000000,56000000,60000000,2000000,92000000,,,,18000000,,,0,
Greece,264000000,82000000,330000000,98000000,631000000,488000000,213000000,376000000,107000000,305000000,304000000,581000000,689000000,246000000,418000000,912000000,1288000000,980000000,1281000000,739000000,677000000,971000000,463000000,403000000,366000000,189000000,202000000,36000000,526000000,1220000000,907000000,487000000,2129000000,894000000,1212000000,871000000,380000000,807000000,1719000000,842000000,709000000,787000000,401000000,2163000000,1098000000,407000000,720000000,1668000000,482000000,1220000000,630000000,70000000,19000000,28000000,204000000,728000000,302000000,51000000,39000000,93000000,101000000,246000000,493000000
Grenada,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,16000000,,1000000,7000000,8000000,5000000,,1000000,16000000,1000000,,46000000,1000000,0,15000000,47000000,15000000,1000000,1000000,5000000,8000000,47000000,16000000,1000000,7000000,25000000,2000000,0,0,4000000,0,0,,13000000,4000000,4000000,2000000,,1000000,,,,,,,,,,0,,,,2000000,,,33000000,,,4000000,14000000,,,4000000
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,0,,,2000000,,,2000000,0,15000000,5000000,1000000,5000000,4000000,14000000,,3000000,7000000,23000000,,,,,,,,,,,,,,,,7000000,2000000,,,,,,0,,,,,,,,,,0,2000000,,5000000,
High income,9429000000,9030000000,9486000000,12600000000,17658000000,15563000000,11723000000,10905000000,11493000000,14447000000,11221000000,13986000000,11967000000,12927000000,13964000000,15593000000,15182000000,14178000000,15870000000,13101000000,15253000000,17506000000,15899000000,16262000000,14540000000,13678000000,17121000000,15892000000,16361000000,16816000000,15528000000,16165000000,15866000000,15924000000,12447000000,12827000000,14191000000,17861000000,19688000000,14133000000,9920000000,8437000000,7175000000,9469000000,10833000000,10850000000,13603000000,14411000000,12485000000,12204000000,12296000000,11990000000,10105000000,10359000000,11744000000,13067000000,12700000000,14796000000,13073000000,14688000000,13310000000,14560000000,19421000000
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,14000000,,,1000000,6000000,,,19000000,,,,2000000,,31000000,30000000,25000000,29000000,9000000,13000000,27000000,30000000,33000000,25000000,35000000,75000000,13000000,44000000,17000000,,,,,,,,,,,,,,,,,,,0,,,0,0,20000000,13000000,8000000,,10000000,1000000,23000000,0,4000000,
Heavily indebted poor countries (HIPC),150000000,231000000,183000000,150000000,252000000,264000000,486000000,425000000,286000000,447000000,777000000,,,461000000,,1123000000,1214000000,1766000000,2421000000,1342000000,1371000000,1834000000,1386000000,983000000,1310000000,818000000,,,,2526000000,,,,,,,,,,,,,,,,,,,,,,1578000000,1354000000,1030000000,776000000,442000000,759000000,,477000000,798000000,482000000,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,27000000,27000000,53000000,1000000,12000000,41000000,,,,57000000,2000000,24000000,8000000,,,19000000,99000000,4000000,11000000,19000000,19000000,,27000000,11000000,20000000,13000000,2000000,5000000,,,29000000
Haiti,6000000,,,,1000000,,,,,8000000,,,,3000000,4000000,1000000,1000000,0,9000000,,,3000000,4000000,3000000,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,599000000,575000000,292000000,376000000,747000000,667000000,150000000,290000000,271000000,447000000,22000000,237000000,121000000,393000000,554000000,495000000,378000000,394000000,660000000,485000000,384000000,143000000,179000000,173000000,307000000,229000000,80000000,77000000,37000000,65000000,14000000,22000000,,935000000,2000000,1000000,156000000,99000000,45000000,71000000,14000000,14000000,,,72000000,13000000,253000000,196000000,5000000,4000000,18000000,8000000,,2000000,7000000,,14000000,5000000,27000000,16000000,55000000,19000000,59000000
IBRD only,7286000000,,5580000000,6220000000,7605000000,7815000000,8706000000,10090000000,9557000000,9756000000,10119000000,12937000000,14561000000,16459000000,15808000000,16909000000,16303000000,20467000000,20756000000,17410000000,18660000000,21313000000,20784000000,19440000000,19201000000,16067000000,16854000000,17465000000,13384000000,11236000000,10350000000,8918000000,7693000000,8192000000,9123000000,9401000000,8791000000,9921000000,6726000000,9350000000,8399000000,8791000000,9152000000,8514000000,9146000000,10134000000,11020000000,12526000000,10926000000,10196000000,9951000000,14319000000,14461000000,13581000000,13761000000,13326000000,16408000000,14797000000,12597000000,10338000000,8946000000,10106000000,10921000000
IDA & IBRD total,7522000000,,5931000000,6703000000,8064000000,8510000000,10525000000,11658000000,11127000000,11707000000,12240000000,15189000000,17450000000,20594000000,20277000000,20331000000,18555000000,23807000000,25205000000,21684000000,23488000000,25553000000,25693000000,23748000000,23778000000,20046000000,20038000000,21268000000,16946000000,15866000000,14517000000,12028000000,8653000000,9829000000,10550000000,10466000000,9874000000,11364000000,8292000000,11136000000,9726000000,10174000000,10864000000,10065000000,10931000000,11542000000,12261000000,13998000000,13014000000,12461000000,14237000000,18532000000,18163000000,17304000000,16012000000,15850000000,18899000000,16961000000,14931000000,13078000000,10714000000,12345000000,13470000000
IDA total,236000000,332000000,351000000,483000000,459000000,695000000,1819000000,1568000000,1570000000,1951000000,2121000000,,,4135000000,,3422000000,2252000000,3340000000,4449000000,4274000000,4828000000,4240000000,4909000000,4308000000,4577000000,3979000000,3184000000,3803000000,3562000000,4630000000,4167000000,3110000000,960000000,,1427000000,,,1443000000,,,1327000000,,1712000000,1551000000,,,1241000000,1472000000,2088000000,,4286000000,4213000000,3702000000,3723000000,2251000000,2524000000,2491000000,2164000000,2334000000,2740000000,1768000000,2239000000,2549000000
IDA blend,58000000,71000000,112000000,212000000,93000000,287000000,774000000,224000000,474000000,625000000,446000000,631000000,810000000,183000000,,762000000,451000000,491000000,1051000000,904000000,1464000000,1008000000,1506000000,902000000,1406000000,1369000000,748000000,957000000,510000000,1077000000,743000000,585000000,493000000,,994000000,,519000000,791000000,,,230000000,446000000,584000000,733000000,497000000,,368000000,767000000,1107000000,1297000000,2622000000,1241000000,1155000000,1308000000,1253000000,1105000000,990000000,942000000,1069000000,857000000,922000000,1512000000,1622000000
Indonesia,441000000,752000000,995000000,180000000,552000000,296000000,16000000,1000000,0,9000000,27000000,92000000,5000000,73000000,73000000,4000000,156000000,62000000,124000000,369000000,898000000,790000000,357000000,228000000,100000000,289000000,432000000,264000000,289000000,245000000,202000000,11000000,51000000,212000000,471000000,283000000,379000000,103000000,87000000,163000000,146000000,24000000,63000000,353000000,75000000,33000000,62000000,578000000,246000000,445000000,229000000,255000000,216000000,828000000,1196000000,436000000,378000000,1120000000,325000000,234000000,276000000,321000000,68000000
IDA only,178000000,261000000,239000000,271000000,366000000,408000000,1045000000,1344000000,1096000000,1326000000,1675000000,,,3952000000,,2660000000,1801000000,2849000000,3398000000,3370000000,3364000000,3232000000,3403000000,3406000000,3171000000,2610000000,2436000000,2846000000,,3553000000,,,,,,,,,,,,,1128000000,,,,873000000,,,,,2972000000,2547000000,2415000000,998000000,1419000000,1501000000,1222000000,1265000000,1883000000,846000000,727000000,927000000
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,544000000,1122000000,371000000,647000000,920000000,1049000000,994000000,1265000000,1653000000,1515000000,869000000,1868000000,1815000000,1337000000,1302000000,1108000000,1935000000,2369000000,1199000000,1199000000,1768000000,2123000000,2275000000,2637000000,2782000000,2999000000,4265000000,3929000000,3855000000,3691000000,2861000000,1896000000,1190000000,740000000,886000000,1403000000,851000000,1673000000,757000000,1215000000,983000000,1201000000,2031000000,2743000000,2214000000,1198000000,1475000000,2281000000,1644000000,1884000000,2898000000,3610000000,4396000000,5367000000,3330000000,2928000000,2782000000,2892000000,2118000000,3470000000,2847000000,4167000000,2846000000
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,1000000,,,2000000,12000000,,,,,,,14000000,27000000,8000000,6000000,9000000,,5000000,28000000,27000000,44000000,12000000,3000000,,11000000,2000000,38000000,,24000000,,,11000000,,,41000000,,,,3000000,33000000,0,42000000,21000000,,25000000,5000000,13000000,27000000,19000000,,4000000,,,,40000000,43000000,43000000,2000000,5000000,36000000,11000000,,
"Iran, Islamic Rep.",84000000,107000000,127000000,137000000,141000000,171000000,407000000,327000000,760000000,1305000000,1234000000,1753000000,1434000000,2091000000,2912000000,5272000000,4570000000,5626000000,3784000000,533000000,278000000,487000000,541000000,509000000,465000000,548000000,803000000,833000000,478000000,192000000,454000000,1022000000,432000000,985000000,446000000,290000000,611000000,174000000,377000000,319000000,414000000,522000000,433000000,280000000,119000000,55000000,421000000,329000000,60000000,95000000,95000000,94000000,40000000,13000000,13000000,13000000,413000000,3000000,3000000,3000000,2000000,,
Iraq,168000000,118000000,278000000,201000000,321000000,248000000,341000000,359000000,380000000,405000000,180000000,187000000,627000000,1846000000,1425000000,1125000000,1136000000,1059000000,1782000000,1359000000,2242000000,2573000000,3261000000,3369000000,4535000000,3965000000,3381000000,3464000000,1897000000,1490000000,818000000,,,,,,,,,,,,,,74000000,196000000,303000000,297000000,375000000,388000000,439000000,585000000,500000000,375000000,660000000,1471000000,1787000000,943000000,452000000,145000000,4000000,0,55000000
Iceland,20000000,,,,,,,,27000000,,,,,,,27000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000,,,,,,,,,,,
Israel,163000000,87000000,271000000,407000000,417000000,437000000,319000000,283000000,978000000,1381000000,1122000000,1341000000,891000000,1959000000,1174000000,1624000000,1939000000,1261000000,1326000000,698000000,1260000000,1654000000,866000000,487000000,286000000,309000000,1185000000,1080000000,582000000,24000000,81000000,1210000000,1335000000,716000000,761000000,366000000,108000000,59000000,1289000000,1191000000,354000000,116000000,337000000,179000000,846000000,1135000000,1125000000,835000000,679000000,156000000,71000000,86000000,127000000,216000000,549000000,688000000,622000000,535000000,494000000,519000000,367000000,476000000,829000000
Italy,409000000,427000000,881000000,1212000000,1133000000,727000000,409000000,106000000,196000000,607000000,681000000,1099000000,1761000000,1014000000,1111000000,1011000000,711000000,517000000,689000000,601000000,475000000,129000000,247000000,306000000,273000000,205000000,198000000,183000000,179000000,196000000,153000000,202000000,184000000,201000000,195000000,327000000,280000000,519000000,56000000,25000000,271000000,238000000,240000000,568000000,450000000,143000000,384000000,467000000,159000000,94000000,102000000,286000000,191000000,71000000,126000000,236000000,750000000,713000000,287000000,177000000,201000000,210000000,236000000
Jamaica,,,1000000,1000000,0,,,3000000,,,,1000000,,13000000,8000000,4000000,1000000,3000000,4000000,,,0,,,,5000000,3000000,,,4000000,,,,,,,,,10000000,10000000,,,,,,10000000,10000000,13000000,2000000,,1000000,,,1000000,,2000000,22000000,,19000000,3000000,10000000,28000000,
Jordan,30000000,15000000,55000000,39000000,33000000,55000000,92000000,126000000,48000000,238000000,130000000,68000000,66000000,87000000,184000000,372000000,337000000,464000000,593000000,279000000,384000000,401000000,1061000000,786000000,478000000,292000000,250000000,143000000,247000000,59000000,16000000,24000000,,1000000,5000000,19000000,75000000,77000000,248000000,63000000,136000000,160000000,132000000,281000000,169000000,49000000,52000000,183000000,160000000,234000000,89000000,214000000,175000000,75000000,197000000,231000000,231000000,369000000,184000000,229000000,157000000,67000000,32000000
Japan,809000000,338000000,221000000,204000000,1718000000,1154000000,324000000,605000000,552000000,525000000,644000000,771000000,670000000,630000000,997000000,1668000000,1656000000,960000000,1078000000,985000000,1057000000,1337000000,1450000000,1695000000,2052000000,1975000000,1893000000,1946000000,1997000000,2283000000,2682000000,2940000000,2519000000,2121000000,1017000000,1243000000,859000000,830000000,1476000000,1244000000,483000000,420000000,431000000,455000000,388000000,372000000,460000000,549000000,987000000,988000000,653000000,299000000,235000000,339000000,329000000,356000000,345000000,434000000,755000000,972000000,923000000,947000000,1291000000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000,2000000,64000000,,72000000,121000000,139000000,20000000,,47000000,42000000,44000000,82000000,25000000,39000000,58000000,62000000,94000000,141000000,82000000,444000000,252000000,218000000,299000000,230000000,269000000,85000000,4000000
Kenya,,,,,6000000,15000000,19000000,2000000,2000000,3000000,0,26000000,9000000,2000000,28000000,25000000,17000000,58000000,211000000,56000000,119000000,144000000,91000000,20000000,12000000,6000000,26000000,176000000,,47000000,43000000,14000000,,,30000000,,,58000000,,,12000000,,,,,,,11000000,,34000000,116000000,13000000,61000000,1000000,17000000,30000000,32000000,16000000,6000000,18000000,71000000,4000000,1000000
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,5000000,3000000,2000000,,,,,,,,,4000000,8000000,12000000,1000000,15000000,,1000000,12000000
Cambodia,1000000,2000000,5000000,11000000,41000000,43000000,37000000,20000000,15000000,18000000,6000000,22000000,106000000,123000000,23000000,,,,43000000,,34000000,,,13000000,67000000,68000000,134000000,50000000,10000000,119000000,45000000,,,2000000,72000000,1000000,26000000,21000000,,,,,,,,,14000000,56000000,,4000000,34000000,,77000000,67000000,,,,,5000000,1000000,,28000000,14000000
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",195000000,180000000,132000000,218000000,283000000,631000000,570000000,130000000,357000000,499000000,93000000,235000000,373000000,253000000,450000000,654000000,556000000,1198000000,376000000,1349000000,914000000,887000000,677000000,496000000,524000000,764000000,869000000,771000000,1220000000,1849000000,1214000000,921000000,795000000,1024000000,1029000000,1965000000,1984000000,1230000000,1417000000,1636000000,1399000000,774000000,470000000,752000000,1051000000,799000000,1657000000,1728000000,1689000000,796000000,1297000000,1568000000,1076000000,189000000,738000000,256000000,1038000000,962000000,1140000000,1495000000,1276000000,798000000,408000000
